7369, smith  , clerk     ,7902, 1980-12-17 00:00:00 ,800,\N,20
7499,allen, salesman  ,7698, 1981-02-20 00:00:00 ,1600,300,30
7521, ward   , salesman  ,7698, 1981-02-22 00:00:00 ,1250,500,30
7566, jones  , manager   ,7839, 1981-04-02 00:00:00 ,2975,\N,20
7654, martin , salesman  ,7698, 1981-09-28 00:00:00 ,1250,1400,30
7698,blake, manager   ,7839, 1981-05-01 00:00:00 ,2850,\N,30
7782,clark, manager   ,7839, 1981-06-09 00:00:00 ,2450,\N,10
7788,scott, analyst   ,7566, 1987-04-19 00:00:00 ,3000,\N,20
7839, king   ,persident,\N, 1981-11-17 00:00:00 ,5000,\N,10
7844, turner , salesman  ,7698, 1981-09-08 00:00:00 ,1500,\N,30
7876,adams, clerk     ,7788, 1987-05-23 00:00:00 ,1100,\N,20
7900,james, clerk     ,7698, 1981-12-03 00:00:00 ,950,\N,30
7902, ford   , analyst   ,7566, 1981-12-03 00:00:00 ,3000,\N,20
7934, miller , clerk     ,7782, 1982-01-23 00:00:00 ,1300,\N,10
